ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
3700369,slgawmd,,,Buckingham Avenue Centre,,,,Buckingham Avenue,,Farnham Road,,,,opp,,N,N0072216,Slough Trading Estate,Slough,,Slough,,Slough Trading Estate,,0,U,496166,181088,-0.61535732,51.52053588,BCT,MKD,OTH,,,,50,2004-08-03T00:00:00,2010-04-05T16:30:00,2,rev,act
3700370,slgawmg,,,Farnham Road PO,,,,Montrose Avenue,,Farnham Road,,,,opp,,N,N0072216,Slough Trading Estate,Slough,,Slough,,Slough Trading Estate,,0,U,496140,181553,-0.615605207,51.5247201,BCT,MKD,OTH,,,,50,2004-08-03T00:00:00,2008-10-26T10:02:00,3,rev,act
3700371,slgawmj,,,Lidl,,,,Hampshire Avenue,,Farnham Road,,,,N-bound,,N,E0053685,Britwell,Slough,,Slough,,Britwell,,0,U,496095,181742,-0.616202151,51.52642663,BCT,MKD,TIP,,,,50,2004-08-03T00:00:00,2010-04-05T17:26:00,2,rev,act
3700372,slgawmp,,,Crofthill Road,,,,Crofthill Road,,Farnham Road,,,,adj,,N,E0053685,Britwell,Slough,,Slough,,Britwell,,0,U,495984,182279,-0.617655524,51.53127247,BCT,MKD,OTH,,,,50,2004-02-09T00:00:00,2008-11-23T10:21:00,3,rev,act
3700305,slgadaw,,,The Myrke,,,,The Myrke,,Datchet Road,,,,opp,,S,E0041748,Upton,Slough,,Slough,,Upton,,0,U,497979,178574,-0.589932824,51.49762702,BCT,CUS,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T21:22:00,1,rev,act
3700306,slgadga,,,The Myrke,,,,The Myrke,,Datchet Road,,,,adj,,N,E0041748,Upton,Slough,,Slough,,Upton,,0,U,497939,178642,-0.590490013,51.49824518,BCT,CUS,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T21:22:00,1,rev,act
3700253,slgapwd,,,Leigh Road,,,,Leigh Road,,Bath Road,,,,nr,,SE,N0072216,Slough Trading Estate,Slough,,Slough,,Slough Trading Estate,,0,U,495618,180534,-0.623403284,51.51564899,BCT,MKD,OTH,,,,50,2005-09-12T00:00:00,2010-06-21T14:54:00,4,rev,act
3700230,slgapjp,,,Doddsfield Road,,,,Elmar Green,,Doddsfield Road,,,,o/s 97,,W,E0053685,Britwell,Slough,,Slough,,Britwell,,0,U,495393,182922,-0.625998938,51.53715232,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2008-03-24T12:59:00,1,rev,act
3700286,slgatjg,,,Lodge Close,,,,Lodge Close,,Keel Drive,,,,opp,,W,E0041738,Chalvey,Slough,,Slough,,Chalvey,,0,U,496075,179851,-0.617005244,51.50943218,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T18:29:00,3,rev,act
3700287,slgatjm,,,Lodge Close,,,,Lodge Close,,Keel Drive,,,,nr,,E,E0041738,Chalvey,Slough,,Slough,,Chalvey,,0,U,496112,179845,-0.616473896,51.50937196,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2010-04-05T18:29:00,3,rev,act
3700450,slgadjw,,,Brunel Bus Station,en,,,William Street,en,Wellington Street,en,,,Bay 7,en,,N0072213,Slough Town Centre,Slough,,,,,,0,U,497724,180041,-0.593199112,51.5108576,BCS,,PPT,,,,50,2003-08-28T00:00:00,2011-05-23T08:42:09,4,rev,del
3700451,slgadma,,,Brunel Bus Station,en,,,William Street,en,Wellington Street,en,,,Bay 8,en,,N0072213,Slough Town Centre,Slough,,,,,,0,U,497710,180044,-0.593399954,51.51088698,BCS,,PPT,,,,50,2003-08-28T00:00:00,2011-05-23T08:42:44,4,rev,del
3700452,slgadmd,,,Brunel Bus Station,en,,,William Street,en,Wellington Street,en,,,Bay 9,en,,N0072213,Slough Town Centre,Slough,,,,,,0,U,497755,180048,-0.592750611,51.51091516,BCS,,PPT,,,,50,2003-08-28T00:00:00,2011-05-23T08:43:10,4,rev,del
3700453,slgadmg,,,Brunel Bus Station,en,,,William Street,en,Wellington Street,en,,,Bay 10,en,,N0072213,Slough Town Centre,Slough,,,,,,0,U,497742,180051,-0.592937048,51.51094437,BCS,,PPT,,Setting Down Point Only,en,50,2003-08-28T00:00:00,2011-05-23T08:38:05,4,rev,del
3700454,slgadmj,,,Brunel Bus Station,en,,,William Street,en,Wellington Street,en,,,Bay 11,en,,N0072213,Slough Town Centre,Slough,,,,,,0,U,497733,180056,-0.593065311,51.51099087,BCS,,PPT,,Setting Down Point Only,en,50,2003-08-28T00:00:00,2011-05-23T08:38:58,4,rev,del
3700455,slgadmp,,,Brunel Bus Station,en,,,William Street,en,Wellington Street,en,,,Bay 12,en,,N0072213,Slough Town Centre,Slough,,,,,,0,U,497722,180058,-0.593223216,51.51101075,BCS,,PPT,,Setting Down Point Only,en,50,2003-08-28T00:00:00,2011-05-23T08:39:20,4,rev,del
3700456,slgdatj,,,Diamond Road Mosque,en,,,Dolphin Road,en,Uxbridge Road,en,,,opp,en,SW,N0072213,Slough Town Centre,Slough,,Slough,,,,0,U,498700,179868,-0.579188045,51.50913311,BCT,MKD,OTH,,,,50,2003-08-28T00:00:00,2014-01-07T15:37:39,2,rev,act
3700335,slgawdm,,,Library,en,Library,en,Windsor Road,en,Wellington Street,en,,,Stop E,en,W,N0072213,Slough Town Centre,Slough,,,,,,0,U,497530,179980,-0.596010583,51.51034276,BCT,MKD,OTH,,Setting Down Point Only,en,50,2006-04-05T00:00:00,2019-09-25T08:09:52,5,rev,act
3700336,slgawdp,,,Library,en,Library,en,Windsor Road,en,Wellington Street,en,,,Stop F,en,W,N0072213,Slough Town Centre,Slough,,,,,,0,U,497487,179985,-0.596628621,51.51039512,BCT,MKD,OTH,,Setting Down Point Only,en,50,2006-04-05T00:00:00,2012-05-01T11:07:59,3,rev,act
3700337,slgawdt,,,Library,en,Library,en,Windsor Road,en,Wellington Street,en,,,Stop W,en,E,N0072213,Slough Town Centre,Slough,,,,,,0,U,497485,180014,-0.596649423,51.51065614,BCT,MKD,OTH,,,,50,2006-04-05T00:00:00,2012-05-01T11:01:13,2,rev,act
3700338,slgawdw,,,Queensmere,en,Queensmere,en,Queensmere Shopping Ctr,en,Wellington Street,en,,,stop G,en,W,N0072213,Slough Town Centre,Slough,,,,,,0,U,497734,179965,-0.593076101,51.51017273,BCT,MKD,TIP,,,,50,2003-08-28T00:00:00,2012-05-01T11:38:53,3,rev,act
3700339,,,,Queensmere Taxi Rank,en,,,Queensmere Shopping Ctr,en,Wellington Street,en,,,,,,N0072213,Slough Town Centre,Slough,,,,,,0,U,497760,179962,-0.592702402,51.51014127,TXR,,,,,,50,2005-01-11T00:00:00,2012-05-24T16:37:52,3,rev,del
3700340,slgawga,,,Queensmere Car Park,en,Queensmere Car Park,en,Queensmere Shopping Ctr,en,Wellington Street,en,,,Stop H,en,W,N0072213,Slough Town Centre,Slough,,,,,,0,U,497923,179928,-0.59036382,51.50980746,BCT,MKD,OTH,,,,50,2004-05-19T00:00:00,2012-05-01T11:38:38,3,rev,act
3700343,,,,Observatory,en,,,Observatory Shopping Centre,en,Queensmere Road,en,,,rear of shopping centre,en,,N0072213,Slough Town Centre,Slough,,,,,,0,U,498037,179832,-0.588748324,51.5089248,TXR,,,,,,50,2005-01-11T00:00:00,2005-01-11T00:00:00,0,new,act
